iter	Passed	Remaining
0	2	1118
1	2	678
2	3	517
3	3	451
4	4	412
5	4	383
6	5	363
7	5	336
8	6	322
9	6	311
10	7	299
11	7	292
12	8	283
13	8	276
14	9	274
15	9	264
16	9	263
17	10	261
18	11	260
19	11	258
20	11	253
21	12	253
22	12	249
23	13	247
24	13	246
25	14	243
26	14	239
27	15	237
28	15	234
29	15	230
30	16	227
31	16	224
32	16	223
33	17	222
34	17	219
35	18	216
36	18	215
37	18	210
38	19	209
39	19	207
40	19	205
41	20	204
42	20	205
43	21	203
44	21	202
45	21	201
46	22	201
47	22	199
48	23	198
49	23	197
50	23	195
51	24	194
52	24	192
53	24	191
54	25	191
55	25	190
56	26	189
57	26	188
58	27	187
59	27	187
60	28	187
61	28	186
62	29	186
63	29	185
64	29	185
65	30	185
66	30	184
67	31	183
68	31	183
69	32	182
70	32	181
71	32	180
72	33	179
73	33	178
74	34	178
75	34	177
76	34	177
77	35	175
78	35	174
79	35	173
80	36	172
81	36	172
82	37	172
83	37	172
84	38	171
85	38	170
86	38	170
87	39	169
88	39	168
89	39	167
90	40	167
91	40	167
92	41	166
93	41	166
94	42	165
95	42	165
96	42	164
97	43	164
98	44	164
99	44	163
100	44	162
101	45	161
102	45	161
103	45	160
104	46	159
105	46	159
106	47	159
107	47	158
108	47	157
109	48	157
110	48	157
111	49	156
112	49	155
113	49	155
114	50	154
115	50	154
116	51	154
117	51	153
118	52	152
119	52	152
120	53	152
121	53	151
122	53	150
123	54	149
124	54	149
125	54	148
126	55	148
127	55	148
128	56	147
129	56	146
130	56	146
131	57	145
132	57	145
133	57	144
134	58	144
135	58	143
136	59	142
137	59	142
138	59	141
139	60	141
140	60	140
141	61	140
142	61	140
143	62	139
144	62	139
145	62	138
146	63	138
147	63	137
148	64	137
149	64	137
150	65	137
151	65	136
152	66	136
153	66	135
154	67	136
155	68	136
156	68	136
157	69	135
158	69	135
159	70	135
160	70	134
161	71	134
162	71	133
163	71	132
164	72	132
165	72	132
166	73	131
167	73	131
168	73	130
169	74	130
170	74	129
171	75	129
172	75	128
173	76	128
174	76	128
175	77	127
176	77	127
177	77	126
178	78	126
179	78	126
180	79	125
181	79	125
182	80	124
183	80	124
184	80	123
185	81	123
186	81	122
187	82	122
188	82	122
189	83	121
190	83	121
191	84	120
192	84	120
193	84	119
194	85	119
195	85	118
196	86	118
197	86	117
198	86	117
199	87	116
200	87	116
201	88	115
202	88	115
203	88	115
204	89	114
205	89	114
206	90	113
207	90	113
208	91	112
209	91	112
210	91	111
211	92	111
212	92	110
213	92	110
214	93	109
215	93	109
216	94	108
217	94	108
218	95	108
219	95	107
220	95	107
221	96	106
222	96	106
223	97	105
224	97	105
225	98	105
226	98	104
227	98	103
228	99	103
229	99	103
230	99	102
231	100	102
232	100	101
233	101	101
234	101	100
235	102	100
236	102	100
237	103	99
238	103	99
239	104	98
240	104	98
241	104	97
242	105	97
243	105	96
244	106	96
245	106	96
246	106	95
247	107	95
248	107	94
249	107	94
250	108	93
251	108	93
252	109	92
253	109	92
254	110	91
255	110	91
256	110	91
257	111	90
258	111	90
259	112	89
260	112	89
261	112	88
262	113	88
263	113	87
264	114	87
265	114	86
266	114	86
267	115	86
268	115	85
269	116	85
270	116	84
271	117	84
272	117	83
273	117	83
274	118	82
275	118	82
276	118	82
277	119	81
278	119	81
279	120	80
280	120	80
281	121	80
282	121	79
283	121	79
284	122	78
285	122	78
286	123	77
287	123	77
288	124	76
289	124	76
290	124	75
291	125	75
292	125	75
293	126	74
294	126	74
295	127	73
296	127	73
297	128	73
298	128	72
299	128	72
300	129	71
301	129	71
302	129	70
303	130	70
304	130	69
305	131	69
306	131	69
307	132	68
308	132	68
309	133	67
310	133	67
311	133	66
312	134	66
313	134	66
314	135	65
315	135	65
316	136	64
317	136	64
318	137	64
319	137	63
320	137	63
321	138	62
322	138	62
323	139	61
324	139	61
325	140	61
326	140	60
327	141	60
328	141	59
329	141	59
330	142	58
331	142	58
332	142	57
333	143	57
334	143	57
335	144	56
336	144	56
337	145	55
338	145	55
339	145	54
340	146	54
341	146	54
342	147	53
343	147	53
344	148	52
345	148	52
346	148	51
347	149	51
348	149	51
349	150	50
350	150	50
351	150	49
352	151	49
353	151	48
354	152	48
355	152	48
356	153	47
357	153	47
358	153	46
359	154	46
360	154	45
361	155	45
362	155	44
363	155	44
364	156	44
365	156	43
366	156	43
367	157	42
368	157	42
369	158	41
370	158	41
371	158	41
372	159	40
373	159	40
374	160	39
375	160	39
376	161	38
377	162	38
378	162	38
379	163	37
380	163	37
381	163	36
382	164	36
383	164	36
384	165	35
385	165	35
386	166	34
387	166	34
388	166	33
389	167	33
390	167	33
391	167	32
392	168	32
393	168	31
