sample,aging_condition,aging_time_day,L0,a0,b0
红花染料,UV,5,77.28,8.34,26.74
黄檗染料,UV,5,83.07,-2.73,55.66
黄檗染料,humid-_heat,5,83.07,-2.73,55.66
皮纸1,UV,40,86.73,-0.84,12.73
皮纸1,humid-_heat,40,86.73,-0.84,12.73
皮纸2,UV,40,87.29,-0.3,9
皮纸2,humid-_heat,40,87.29,-0.3,9
苏木染料,UV,5,71.08,13.55,33.79
中国画-翡翠绿1,UV,30,43.21,-44.87,9.22
中国画-翡翠绿2,UV,30,41.98,-43.13,8.55
中国画-翡翠绿3,UV,30,42.4,-44.8,9.27
中国画-翡翠绿4,UV,30,42.98,-46.03,9.8
中国画-翡翠绿5,UV,30,43.51,-46.04,9.66
中国画-翡翠绿6,UV,30,40.73,-41.69,8.56
中国画-翡翠绿7,UV,30,43.96,-47.03,9.93
中国画-钴蓝1,UV,30,59.47,-0.25,-31.58
中国画-钴蓝2,UV,30,59.29,-0.22,-31.24
中国画-钴蓝3,UV,30,59.46,-0.21,-31.35
中国画-钴蓝4,UV,30,59.53,-0.33,-29.78
中国画-钴蓝5,UV,30,60.34,-0.62,-29.94
中国画-钴蓝7,UV,30,59.72,-0.35,-30.07
中国画-钴蓝8,UV,30,59.46,-0.31,-30.13
中国画-曙红1,UV,30,34.96,41.16,28.63
中国画-曙红1,UV,24,34.96,41.16,28.63
中国画-曙红2,UV,30,33.9,38.6,27.44
中国画-曙红2,UV,24,33.9,38.6,27.44
中国画-曙红3,UV,30,34.16,39.26,27.89
中国画-曙红3,UV,24,34.16,39.26,27.89
中国画-曙红5,UV,30,34.4,40.08,28.62
中国画-曙红5,UV,24,34.4,40.08,28.62
中国画-曙红6,UV,30,35.31,41.8,28.8
中国画-曙红6,UV,24,35.31,41.8,28.8
中国画-曙红7,UV,30,34.1,39.19,27.95
中国画-曙红7,UV,24,34.1,39.19,27.95
中国画-曙红8,UV,30,34.56,40.4,28.48
中国画-曙红8,UV,24,34.56,40.4,28.48
紫草染料,UV,5,68.96,7.56,4.72
