iter	RMSE
0	2.190880731
1	2.126714682
2	2.071827691
3	2.005228044
4	1.954570501
5	1.899543016
6	1.842103582
7	1.790597178
8	1.732454641
9	1.685207528
10	1.638538143
11	1.595615131
12	1.554423892
13	1.522308268
14	1.480154291
15	1.436251266
16	1.392395535
17	1.359006104
18	1.32388578
19	1.293381928
20	1.261764933
21	1.232282722
22	1.201154261
23	1.171372592
24	1.13914106
25	1.109053306
26	1.083247612
27	1.054878788
28	1.026876441
29	0.9986789151
30	0.9785016912
31	0.9553104421
32	0.9324021855
33	0.9096719884
34	0.8927229328
35	0.8720773775
36	0.8507549671
37	0.8323058173
38	0.813199792
39	0.7976297783
40	0.7783382663
41	0.7613588494
42	0.7478723999
43	0.730586354
44	0.7178508429
45	0.7029613992
46	0.691516533
47	0.6783524986
48	0.6634178618
49	0.6485480985
50	0.6369408834
51	0.6253276273
52	0.613557841
53	0.6033035439
54	0.5948219873
55	0.585709524
56	0.5764439827
57	0.5654967947
58	0.5574195782
59	0.5469853365
60	0.5379515676
61	0.5278865273
62	0.5205549026
63	0.5127073772
64	0.5048564576
65	0.4973211195
66	0.4894455998
67	0.4816238061
68	0.4748557217
69	0.4685951602
70	0.4624887101
71	0.4546779411
72	0.448695964
73	0.4427832643
74	0.4368625336
75	0.4315428384
76	0.4271785367
77	0.422209642
78	0.417824864
79	0.4135609231
80	0.4080758086
81	0.4036043683
82	0.3982020298
83	0.3948364906
84	0.3909600427
85	0.3883163053
86	0.3846707648
87	0.3815153988
88	0.3772245272
89	0.3739008751
90	0.3706505481
91	0.3663956401
92	0.3634069401
93	0.3600102207
94	0.3574609111
95	0.354358969
96	0.3516802885
97	0.348861801
98	0.3467136331
99	0.3436130897
100	0.3415279939
101	0.3393454428
102	0.3367909873
103	0.334308422
104	0.3319108555
105	0.3300222165
106	0.3277302917
107	0.3261214255
108	0.3235739546
109	0.3212773224
110	0.318623003
111	0.3162203302
112	0.3141803104
113	0.3120835432
114	0.3093087342
115	0.3073079921
116	0.3057278261
117	0.3037677094
118	0.3024611288
119	0.3008816733
120	0.2999282023
121	0.2984600248
122	0.2963988318
123	0.2949610351
124	0.2925820301
125	0.2915492762
126	0.2901820821
127	0.2876896315
128	0.2863187146
129	0.2853949948
130	0.284260985
131	0.2825722943
132	0.2814545279
133	0.279812727
134	0.2786636887
135	0.2769215813
136	0.2757960315
137	0.2725858393
138	0.2715469042
139	0.2693452832
140	0.267632564
141	0.2658467903
142	0.2649639002
143	0.2640877951
144	0.2628794536
145	0.2613847922
146	0.2602750522
147	0.2592184878
148	0.2583244136
149	0.2573551378
150	0.2564595632
151	0.2555884251
152	0.2549571058
153	0.253804216
154	0.2532996268
155	0.2518282086
156	0.2513501405
157	0.2504558839
158	0.2484831053
159	0.2474272331
160	0.2467331753
161	0.2458702502
162	0.2452800125
163	0.244226403
164	0.2419280015
165	0.2409906682
166	0.2402392897
167	0.2400449853
168	0.2397149097
169	0.2391091839
170	0.2388586682
171	0.2380002227
172	0.2373697113
173	0.2371814182
174	0.2366383492
175	0.2361841429
176	0.2356047251
177	0.2339280361
178	0.2337120341
179	0.2321639182
180	0.2313703358
181	0.2310697071
182	0.2304701993
183	0.2286056748
184	0.2284516017
185	0.2274795944
186	0.2255652599
187	0.2251253443
188	0.2249421513
189	0.2246385635
190	0.2243631505
191	0.2226833338
192	0.221842377
193	0.2213166346
194	0.2205147248
195	0.2202611489
196	0.2195086964
197	0.2190341573
198	0.2189062199
199	0.2163189294
200	0.2161525151
201	0.2152544919
202	0.2133206822
203	0.2127087895
204	0.2109587895
205	0.2108009957
206	0.2102006201
207	0.2100576842
208	0.2094706684
209	0.2090395066
210	0.2088649895
211	0.2070807084
212	0.2052603074
213	0.2051120801
214	0.2043875432
215	0.2039050529
216	0.2037635208
217	0.2032596927
218	0.2019325005
219	0.2017976594
220	0.2016678639
221	0.1999901249
222	0.1987491722
223	0.1974500414
224	0.1967793759
225	0.1966570535
226	0.1965457579
227	0.1950375649
228	0.1942232608
229	0.1933450866
230	0.1929109367
231	0.1927891429
232	0.1923819349
233	0.1917479658
234	0.1910386322
235	0.1903171393
236	0.1892962767
237	0.1888791248
238	0.1884845041
239	0.1883713363
240	0.1882722673
241	0.18805442
242	0.1879617406
243	0.1864028436
244	0.1860622076
245	0.1845610859
246	0.1824973031
247	0.1821621113
248	0.1818544149
249	0.1812749279
250	0.1809806093
251	0.1796446098
252	0.1793299813
253	0.1783941458
254	0.1782635361
255	0.1774048827
256	0.1768071485
257	0.1764877843
258	0.1763655457
259	0.1762369565
260	0.1759939334
261	0.1757740874
262	0.1753298969
263	0.1751084973
264	0.1748967655
265	0.1743776718
266	0.1732803337
267	0.1731031407
268	0.1728155944
269	0.1726478869
270	0.1715843937
271	0.170165656
272	0.1697765718
273	0.168512921
274	0.1673551383
275	0.1672073585
276	0.1668580151
277	0.1655864371
278	0.1653121745
279	0.165024341
280	0.1638087098
281	0.1635433665
282	0.1634418682
283	0.1631046785
284	0.1630130432
285	0.1626084618
286	0.1616041751
287	0.1610204422
288	0.1600178709
289	0.1599246432
290	0.1597735457
291	0.1591318723
292	0.1581732264
293	0.1579111739
294	0.1578231057
295	0.1577391151
296	0.1576559851
297	0.1574963537
298	0.1570294088
299	0.1569572292
300	0.1567696116
301	0.1566136377
302	0.1565062917
303	0.1562285874
304	0.1560884859
305	0.1550385776
306	0.1546503128
307	0.1542783194
308	0.1540514343
309	0.1538752194
310	0.1537979424
311	0.1535481824
312	0.1532294646
313	0.1530768429
314	0.1525138964
315	0.1516309067
316	0.1509246056
317	0.150303432
318	0.1494960791
319	0.1492796143
320	0.1483869487
321	0.1479723248
322	0.1478200296
323	0.1476720071
324	0.1475377539
325	0.1474690008
326	0.1471897598
327	0.1462248454
328	0.1455269079
329	0.1454056971
330	0.1453395855
331	0.1450656904
332	0.1449596209
333	0.1446968361
334	0.1445010925
335	0.1444386955
336	0.1430344167
337	0.1428841121
338	0.1427590456
339	0.1423933951
340	0.1419805472
341	0.1414635987
342	0.1411603043
343	0.1408511377
344	0.1395290813
345	0.1391898346
346	0.1390424781
347	0.1384841067
348	0.1379202818
349	0.137716226
350	0.1366079355
351	0.1362030005
352	0.1359327478
353	0.1354600692
354	0.1350822678
355	0.1348983776
356	0.1343718364
357	0.1335058846
358	0.1330077377
359	0.1325876753
360	0.1322029253
361	0.1319830671
362	0.1317533259
363	0.1316441639
364	0.1308735242
365	0.130481862
366	0.1302407938
367	0.1296026763
368	0.1295073064
369	0.1292051265
370	0.1288305781
371	0.1282821979
372	0.1279297347
373	0.1270760555
374	0.1269308886
375	0.1266799206
376	0.1264767891
377	0.1264206815
378	0.1257786633
379	0.125167424
380	0.1247822113
381	0.1246309968
382	0.1244428585
383	0.1243539641
384	0.1242162966
385	0.1241604706
386	0.12399859
387	0.1232887906
388	0.1228822372
389	0.122844519
390	0.1227092535
391	0.1226059109
392	0.1222578393
393	0.1219253545
394	0.1217181618
395	0.1213791723
396	0.1207408614
397	0.120605788
398	0.1203083154
399	0.1199885769
400	0.1198547443
401	0.1195097866
402	0.1189142551
403	0.1185624004
404	0.1185186278
405	0.1181967865
406	0.118152694
407	0.1176543318
408	0.1174823447
409	0.1174045375
410	0.1172055428
411	0.1165996934
412	0.1164921214
413	0.1163698367
414	0.1160209927
415	0.1159403224
416	0.1158145267
417	0.1157485101
418	0.1154254066
419	0.1149911359
420	0.1145030845
421	0.1144447463
422	0.1138319485
423	0.1137116534
424	0.1136498684
425	0.1132399987
426	0.1129261351
427	0.1123508195
428	0.1120901192
429	0.1119719078
430	0.1113422507
431	0.1112785694
432	0.1111564878
433	0.1108165575
434	0.1105708807
435	0.1101064001
436	0.1100477733
437	0.1095618649
438	0.1090880115
439	0.1089721342
440	0.1085767321
441	0.1080650282
442	0.107554427
443	0.1072743948
444	0.1071041305
445	0.1068309012
446	0.1065729592
447	0.106399069
448	0.1059401949
449	0.1057026632
450	0.1055743552
451	0.1052083459
452	0.1051270171
453	0.1050461895
454	0.1045022081
455	0.1042723979
456	0.1040051415
457	0.1038799001
458	0.1038298462
459	0.1037420773
460	0.1035290489
461	0.1032740057
462	0.103069006
463	0.1029275772
464	0.1022998737
465	0.1022583469
466	0.1018081718
467	0.1015958976
468	0.1013472712
469	0.100818636
470	0.1005610189
471	0.1003630223
472	0.1001289138
473	0.10008343
474	0.09988185378
475	0.09938765821
476	0.09932619213
477	0.09922519743
478	0.09873734212
479	0.09851355095
480	0.09844925185
481	0.09838970552
482	0.09836031046
483	0.09780046024
484	0.09759704806
485	0.09738871574
486	0.09735291473
487	0.0973066457
488	0.09718453715
489	0.09705922632
490	0.09674020163
491	0.09647542897
492	0.09624798551
493	0.09620087224
494	0.09575410579
495	0.09571487583
496	0.09563264024
497	0.09559868534
498	0.09551390337
499	0.09508921061
