sample,aging_condition,aging_time_day,L0,a0,b0,L,a,b,dietaE
黄檗染料,UV,0,83.07,-2.73,55.66,83.07,-2.73,55.66,0
黄檗染料,UV,1,83.07,-2.73,55.66,80.22,0.12,56.11,4.05555175
黄檗染料,UV,2,83.07,-2.73,55.66,78.5,0.61,58.08,6.156045809
黄檗染料,UV,3,83.07,-2.73,55.66,77.29,1.76,61.15,9.149240406
黄檗染料,UV,4,83.07,-2.73,55.66,76.61,2.58,63.75,11.63511066
黄檗染料,humid-_heat,0,83.07,-2.73,55.66,83.07,-2.73,55.66,0
黄檗染料,humid-_heat,1,83.07,-2.73,55.66,79.53,-0.13,54.01,4.691918584
黄檗染料,humid-_heat,2,83.07,-2.73,55.66,78.12,1.31,53.36,6.790736337
黄檗染料,humid-_heat,3,83.07,-2.73,55.66,76.39,1.95,52.17,8.871578214
黄檗染料,humid-_heat,4,83.07,-2.73,55.66,75.09,1.91,51.89,9.971103249
苏木染料,UV,0,71.08,13.55,33.79,71.08,13.55,33.79,0
苏木染料,UV,1,71.08,13.55,33.79,71.53,12.24,30.82,3.277117636
苏木染料,UV,2,71.08,13.55,33.79,72.09,11.8,28.03,6.104113367
苏木染料,UV,3,71.08,13.55,33.79,72.68,10.18,26.22,8.439300919
苏木染料,UV,4,71.08,13.55,33.79,73.5,10.14,25.31,9.454887625
红花染料,UV,0,77.28,8.34,26.74,77.28,8.34,26.74,0
红花染料,UV,1,77.28,8.34,26.74,77.47,8.27,23.35,3.396041814
红花染料,UV,2,77.28,8.34,26.74,77.86,7.75,20.47,6.324349769
红花染料,UV,3,77.28,8.34,26.74,78.03,7.23,18.79,8.062077896
红花染料,UV,4,77.28,8.34,26.74,78.32,6.46,17.28,9.700907174
紫草染料,UV,0,68.96,7.56,4.72,68.96,7.56,4.72,0
紫草染料,UV,1,68.96,7.56,4.72,69.13,7.08,3.68,1.157972366
紫草染料,UV,2,68.96,7.56,4.72,69.41,6.92,3.21,1.700646936
紫草染料,UV,3,68.96,7.56,4.72,69.88,6.04,2.19,3.091553008
紫草染料,UV,4,68.96,7.56,4.72,70.35,5.21,1.34,4.344997123
皮纸1,UV,0,86.73,-0.84,12.73,86.73,-0.84,12.73,0
皮纸1,UV,3,86.73,-0.84,12.73,88,-1.1,11.3,1.930129529
皮纸1,UV,7,86.73,-0.84,12.73,88.03,-1.25,10.54,2.579573608
皮纸1,UV,15,86.73,-0.84,12.73,88.56,-1.39,9.3,3.926359637
皮纸1,humid-_heat,0,86.73,-0.84,12.73,86.73,-0.84,12.73,0
皮纸1,humid-_heat,3,86.73,-0.84,12.73,86.12,-0.54,13.05,0.75133215
皮纸1,humid-_heat,7,86.73,-0.84,12.73,85.32,-0.28,13.19,1.58533908
皮纸1,humid-_heat,15,86.73,-0.84,12.73,84.39,-0.05,13.61,2.621850492
皮纸2,UV,0,87.29,-0.3,9,87.29,-0.3,9,0
皮纸2,UV,3,87.29,-0.3,9,87.7,-0.37,8.29,0.822860863
皮纸2,UV,7,87.29,-0.3,9,87.95,-0.45,7.54,1.609254486
皮纸2,UV,15,87.29,-0.3,9,88.24,-0.53,6.52,2.665670647
皮纸2,humid-_heat,0,87.29,-0.3,9,87.29,-0.3,9,0
皮纸2,humid-_heat,3,87.29,-0.3,9,86.68,-0.18,10.24,1.387119317
皮纸2,humid-_heat,7,87.29,-0.3,9,86.59,-0.09,11.21,2.32770273
皮纸2,humid-_heat,15,87.29,-0.3,9,85.23,0.24,12.37,3.986489684
中国画-孔雀蓝,UV,0,43.94,-11.61,-27.96,43.94,-11.61,-27.96,0
中国画-孔雀蓝,UV,25,43.94,-11.61,-27.96,44.08,-11.33,-27.69,0.413400532
中国画-孔雀蓝,UV,62,43.94,-11.61,-27.96,42.61,-10.67,-25.59,2.875656447
中国画-孔雀蓝,UV,0,42.73,-11.5,-28.36,42.73,-11.5,-28.36,0
中国画-孔雀蓝,UV,25,42.73,-11.5,-28.36,42.77,-11.14,-27.86,0.617413962
中国画-孔雀蓝,UV,62,42.73,-11.5,-28.36,41.53,-10.47,-25.69,3.103191905
中国画-大红,UV,0,42.92,49.73,32.26,42.92,49.73,32.26,0
中国画-大红,UV,25,42.92,49.73,32.26,42.32,48.99,31.61,1.153299614
中国画-大红,UV,62,42.92,49.73,32.26,42.05,49.6,33.45,1.479831071
中国画-大红,UV,0,43.19,50.72,33.05,43.19,50.72,33.05,0
中国画-大红,UV,25,43.19,50.72,33.05,42.52,49.75,32.05,1.545897797
中国画-大红,UV,62,43.19,50.72,33.05,42.39,50.57,34.24,1.441735066
中国画-柠檬黄,UV,0,85.92,-3.43,81.13,85.92,-3.43,81.13,0
中国画-柠檬黄,UV,25,85.92,-3.43,81.13,86.4,-3.61,82.03,1.03576059
中国画-柠檬黄,UV,62,85.92,-3.43,81.13,84.94,-1.6,83.41,3.083455853
中国画-柠檬黄,UV,0,85.11,-3.15,80.5,85.11,-3.15,80.5,0
中国画-柠檬黄,UV,25,85.11,-3.15,80.5,85.71,-3.2,81.53,1.193063284
中国画-柠檬黄,UV,62,85.11,-3.15,80.5,84.75,-1.68,83.03,2.948118044
颜彩-浅葱,UV,0,43.13,-25.04,-29.23,43.13,-25.04,-29.23,0
颜彩-浅葱,UV,25,43.13,-25.04,-29.23,42.77,-25.37,-28.89,0.595063022
颜彩-浅葱,UV,62,43.13,-25.04,-29.23,41.35,-24.78,-26.73,3.079935064
颜彩-浅葱,UV,0,35.86,-18.02,-26.72,35.86,-18.02,-26.72,0
颜彩-浅葱,UV,25,35.86,-18.02,-26.72,35.36,-17.57,-26.27,0.809320703
颜彩-浅葱,UV,62,35.86,-18.02,-26.72,33.99,-16.98,-24.17,3.328813602
颜彩-红,UV,0,43.12,53.69,38.64,43.12,53.69,38.64,0
颜彩-红,UV,25,43.12,53.69,38.64,43,53.44,38.04,0.660984115
颜彩-红,UV,62,43.12,53.69,38.64,42.71,53.56,39.8,1.2371742
颜彩-红,UV,0,47.51,53.81,33.32,47.51,53.81,33.32,0
颜彩-红,UV,25,47.51,53.81,33.32,46.81,53.42,33.1,0.830963296
颜彩-红,UV,62,47.51,53.81,33.32,46.62,53.53,35.08,1.992009036
颜彩-鲜光黄,UV,0,87.43,-3.21,85,87.43,-3.21,85,0
颜彩-鲜光黄,UV,25,87.43,-3.21,85,87.4,-2.96,85.59,0.641482658
颜彩-鲜光黄,UV,62,87.43,-3.21,85,85.94,-1.54,85.38,2.270110129
颜彩-鲜光黄,UV,0,87.55,-2.71,87.21,87.55,-2.71,87.21,0
颜彩-鲜光黄,UV,25,87.55,-2.71,87.21,87.13,-2.31,87.82,0.84172442
颜彩-鲜光黄,UV,62,87.55,-2.71,87.21,86.24,-0.59,88.2,2.681529414
矿物颜料-天蓝,UV,0,39.56,-1.04,-20.08,39.56,-1.04,-20.08,0
矿物颜料-天蓝,UV,25,39.56,-1.04,-20.08,40.32,-1.29,-20.03,0.801623353
矿物颜料-天蓝,UV,62,39.56,-1.04,-20.08,38.82,-0.93,-17.68,2.51390135
矿物颜料-天蓝,UV,0,38.72,-0.7,-19.81,38.72,-0.7,-19.81,0
矿物颜料-天蓝,UV,25,38.72,-0.7,-19.81,38.55,-0.81,-19.99,0.270924344
矿物颜料-天蓝,UV,62,38.72,-0.7,-19.81,38.73,-0.88,-17.62,2.197407563
矿物颜料-天蓝,UV,0,37.6,-0.55,-20.9,37.6,-0.55,-20.9,0
矿物颜料-天蓝,UV,25,37.6,-0.55,-20.9,37.14,-0.43,-20.62,0.551724569
矿物颜料-天蓝,UV,62,37.6,-0.55,-20.9,36.61,-0.34,-18.41,2.687805797
矿物颜料-大红,UV,0,55.8,45.85,21.37,55.8,45.85,21.37,0
矿物颜料-大红,UV,25,55.8,45.85,21.37,55.9,45.8,21.34,0.115758369
矿物颜料-大红,UV,62,55.8,45.85,21.37,55.31,46.06,23.85,2.536651336
矿物颜料-大红,UV,0,54.88,46.62,22,54.88,46.62,22,0
矿物颜料-大红,UV,25,54.88,46.62,22,56.37,45,20.92,2.451713686
矿物颜料-大红,UV,62,54.88,46.62,22,56.07,45.11,23.52,2.450836592
矿物颜料-大红,UV,0,53.59,48.61,23.49,53.59,48.61,23.49,0
矿物颜料-大红,UV,25,53.59,48.61,23.49,54.79,47.87,22.67,1.630950643
矿物颜料-大红,UV,62,53.59,48.61,23.49,54.44,47.69,25.13,2.063613336
矿物颜料-明黄,UV,0,86.18,4.05,51.84,86.18,4.05,51.84,0
矿物颜料-明黄,UV,25,86.18,4.05,51.84,85.45,4.97,49.42,2.68992565
矿物颜料-明黄,UV,62,86.18,4.05,51.84,83.57,6.7,49.44,4.426578814
矿物颜料-明黄,UV,0,86.58,4.01,50.96,86.58,4.01,50.96,0
矿物颜料-明黄,UV,25,86.58,4.01,50.96,85.67,4.53,47.65,3.471973502
矿物颜料-明黄,UV,62,86.58,4.01,50.96,83.94,6.47,48.42,4.412799565
矿物颜料-明黄,UV,0,87.17,3.06,48.21,87.17,3.06,48.21,0
矿物颜料-明黄,UV,25,87.17,3.06,48.21,87.21,3.14,42.82,5.390742064
矿物颜料-明黄,UV,62,87.17,3.06,48.21,84.92,5.49,46.69,3.643871567
